session_id,type,technique_id,technique_name,atomic_test_numbers,window_start,window_end,ruleset_phase,operator_context,defender_realtime_off,notes
20260808-050708-attack-r1,attack,T1136.001,,"4;5;8;9",2026-08-08 05:07:08,2026-08-08 05:08:43,custom,atomic-red-team,True,
20260808-051316-attack-r2,attack,T1136.001,,"4;5;8;9",2026-08-08 05:13:16,2026-08-08 05:13:58,custom,atomic-red-team,True,
20260808-051757-attack-r3,attack,T1136.001,,"4;5;8;9",2026-08-08 05:17:57,2026-08-08 05:18:17,custom,atomic-red-team,True,
20260808-052120-attack-r4,attack,T1136.001,,"4;5;8;9",2026-08-08 05:21:20,2026-08-08 05:21:54,custom,atomic-red-team,True,
20260808-052758-attack-r5,attack,T1136.001,,"4;5;8;9",2026-08-08 05:27:58,2026-08-08 05:28:26,custom,atomic-red-team,True,
20260808-053331-benign-r1,benign,T1136.001,,"",2026-08-08 05:33:31,2026-08-08 05:33:35,custom,interactive-admin,True,
20260808-053808-benign-r2,benign,T1136.001,,"",2026-08-08 05:38:08,2026-08-08 05:38:13,custom,interactive-admin,True,
20260808-054140-benign-r3,benign,T1136.001,,"",2026-08-08 05:41:40,2026-08-08 05:41:42,custom,interactive-admin,True,
20260808-054634-benign-r4,benign,T1136.001,,"",2026-08-08 05:46:34,2026-08-08 05:46:38,custom,interactive-admin,True,
20260808-054959-benign-r5,benign,T1136.001,,"",2026-08-08 05:49:59,2026-08-08 05:50:03,custom,interactive-admin,True,
20260808-063757-attack-r1,attack,T1547.001,,"1;3;7;12",2026-08-08 06:37:57,2026-08-08 06:38:05,baseline,atomic-red-team,True,
20260808-064021-attack-r2,attack,T1547.001,,"1;3;7;12",2026-08-08 06:40:21,2026-08-08 06:40:53,baseline,atomic-red-team,True,
20260808-064534-attack-r3,attack,T1547.001,,"1;3;7;12",2026-08-08 06:45:34,2026-08-08 06:45:42,baseline,atomic-red-team,True,
20260808-064836-attack-r4,attack,T1547.001,,"1;3;7;12",2026-08-08 06:48:37,2026-08-08 06:48:55,baseline,atomic-red-team,True,
20260808-065243-attack-r5,attack,T1547.001,,"1;3;7;12",2026-08-08 06:52:43,2026-08-08 06:52:47,baseline,atomic-red-team,True,
20260808-070218-benign-r1,benign,T1547.001,,"",2026-08-08 07:02:18,2026-08-08 07:02:34,baseline,interactive-admin,True,
20260808-070728-benign-r1,benign,T1547.001,,"",2026-08-08 07:07:28,2026-08-08 07:07:51,baseline,interactive-admin,True,
20260808-071011-benign-r2,benign,T1547.001,,"",2026-08-08 07:10:11,2026-08-08 07:10:30,baseline,interactive-admin,True,
20260808-071315-benign-r3,benign,T1547.001,,"",2026-08-08 07:13:15,2026-08-08 07:13:35,baseline,interactive-admin,True,
20260808-071708-benign-r4,benign,T1547.001,,"",2026-08-08 07:17:08,2026-08-08 07:17:22,baseline,interactive-admin,True,
20260808-072004-benign-r5,benign,T1547.001,,"",2026-08-08 07:20:28,2026-08-08 07:20:42,baseline,interactive-admin,True,
20260808-120708-benign-r1,benign,T1547.001,,"",2026-08-08 12:07:08,2026-08-08 12:07:22,baseline,interactive-admin,True,
20260808-121012-benign-r2,benign,T1547.001,,"",2026-08-08 12:10:12,2026-08-08 12:10:24,baseline,interactive-admin,True,
20260808-121310-benign-r3,benign,T1547.001,,"",2026-08-08 12:13:10,2026-08-08 12:13:27,baseline,interactive-admin,True,
20260808-121608-benign-r4,benign,T1547.001,,"",2026-08-08 12:16:08,2026-08-08 12:16:29,baseline,interactive-admin,True,
20260808-121914-benign-r5,benign,T1547.001,,"",2026-08-08 12:19:14,2026-08-08 12:19:34,baseline,interactive-admin,True,
20260808-122954-attack-r1,attack,T1547.001,,"1;3;7;12",2026-08-08 12:29:54,2026-08-08 12:31:15,custom,atomic-red-team,True,
20260808-123355-attack-r2,attack,T1547.001,,"1;3;7;12",2026-08-08 12:33:55,2026-08-08 12:34:03,custom,atomic-red-team,True,
